de todas as,de todos os,mais do que,no sei que,no sei se,todos os dias,$heteronomio,$poema
0.0,0.0,0.0,0.0,0.0,0.0,caeiro,A gua chia no pcaro que elevo  boca  um som fresco dizme quem me d a bebla Sorrio O som  s um som de chiar Bebo a gua sem ouvir nada com a minha garganta
0.0,0.0,0.0,0.0,0.0,0.0,caeiro,A criana que pensa em fadas e acredita nas fadas Age como um deus doente mas como um deus Porque embora afirme que existe o que no existe Sabe como  que as cousas existem que  existindo Sabe que existir existe e no se explica Sabe que no h razo nenhuma para nada existir Sabe que ser  estar em um ponto S no sabe que o pensamento no  um ponto qualquer
0.0,0.12660849224294687,0.0,0.0,0.0,0.1461352950658146,caeiro,A espantosa realidade das cousas  a minha descoberta de todos os dias Cada cousa  o que  E  difcil explicar a algum quanto isso me alegra E quanto isso me basta
0.0,0.0,0.0,0.053484126220807386,0.0,0.0,caeiro,Tenho escrito bastantes poemas Hei de escrever muitos mais naturalmente Cada poema meu diz isto E todos os meus poemas so diferentes Porque cada cousa que h  uma maneira de dizer isto s vezes ponhome a olhar para uma pedra No me ponho a pensar se ela sente No me perco a chamarlhe minha irm Mas gosto dela por ela ser uma pedra Gosto dela porque ela no sente nada Gosto dela porque ela no tem parentesco nenhum comigo Outras vezes oio passar o vento E acho que s para ouvir passar o vento vale a pena ter nascido Eu no sei o que  que os outros pensaro lendo isto; Mas acho que isto deve estar bem porque o penso sem estorvo Nem idia de outras pessoas a ouvirme pensar; Porque o penso sem pensamentos Porque o digo como as minhas palavras o dizem Uma vez chamaramme poeta materialista E eu admireime porque no julgava Que se me pudesse chamar qualquer cousa Eu nem sequer sou poeta: vejo Se o que escrevo tem valor no sou eu que o tenho: O valor est ali nos meus versos Tudo isso  absolutamente independente da minha vontade
0.0,0.0,0.06074121317773513,0.0,0.0,0.0,caeiro,A guerra que aflige com os seus esquadres o Mundo  o tipo perfeito do erro da filosofia A guerra como todo humano quer alterar Mas a guerra mais do que tudo quer alterar e alterar muito E alterar depressa Mas a guerra inflige a morte E a morte  o desprezo do Universo por ns Tendo por conseqncia a morte a guerra prova que  falsa Sendo falsa prova que  falso todo o querer alterar Deixemos o universo exterior e os outros homens onde a Natureza os ps Tudo  orgulho e inconscincia Tudo  querer mexerse fazer cousas deixar rasto Para o corao e o comandante dos esquadres Regressa aos bocados o universo exterior A qumica direta da Natureza No deixa lugar vago para o pensamento A humanidade  uma revolta de escravos A humanidade  um governo usurpado pelo povo Existe porque usurpou mas erra porque usurpar  no ter direito Deixai existir o mundo exterior e a humanidade natural Paz a todas as cousas prhumanas mesmo no homem Paz  essncia inteiramente exterior do Universo
0.0,0.0,0.0,0.0,0.0,0.0,caeiro,A neve ps uma toalha calada sobre tudo No se sente seno o que se passa dentro de casa Embrulhome num cobertor e no penso sequer em pensar Sinto um gozo de animal e vagamente penso E adormeo sem menos utilidade que todas as aes do mundo
0.0,0.0,0.0,0.0,0.0,0.0,caeiro,A noite desce o calor soobra um pouco Estou lcido como se nunca tivesse pensado E tivesse raiz ligao direta com a terra No esta espcie de ligao de sentido secundrio observado  noite  noite quando me separo das cousas E m'aproximo das estrelas ou constelaes distantes  Erro: porque o distante no  o prximo E aproximlo  enganarme
0.0,0.0,0.0,0.0,0.0,0.0,caeiro,Ah querem uma luz melhor que a do Sol Querem prados mais verdes do que estes Querem flores mais belas do que estas que vejo A mim este Sol estes prados estas flores contentamme Mas se acaso me descontentam O que quero  um sol mais sol que o Sol O que quero  prados mais prados que estes prados O que quero  flores mais estas flores que estas flores  Tudo mais ideal do que  do mesmo modo e da mesma maneira
0.0,0.0,0.0,0.0,0.0,0.0,caeiro,Assim como falham as palavras quando querem exprimir qualquer pensamento Assim falham os pensamentos quando querem exprimir qualquer realidade Mas como a realidade pensada no  a dita mas a pensada Assim a mesma dita realidade existe no o ser pensada Assim tudo o que existe simplesmente existe O resto  uma espcie de sono que temos infncia da doena Uma velhice que nos acompanha desde a infncia da doena
0.0,0.0,0.0,0.0,0.0,0.0,caeiro,Criana desconhecida e suja brincando  minha porta No te pergunto se me trazes um recado dos smbolos Achote graa por nunca te ter visto antes E naturalmente se pudesses estar limpa eras outra criana Nem aqui vinhas Brinca na poeira brinca Aprecio a tua presena s com os olhos Vale mais a pena ver uma cousa sempre pela primeira vez que conhecla Porque conhecer  como nunca ter visto pela primeira vez E nunca ter visto pela primeira vez  s ter ouvido contar O modo como esta criana est suja  diferente do modo como as outras esto sujas Brinca pegando numa pedra que te cabe na mo Sabes que te cabe na mo Qual  a filosofia que chega a uma certeza maior Nenhuma e nenhuma pode vir brincar nunca  minha porta
